# Region        : all region0
# Cells         : 400
# Volume        : 1.00000000e-04
# Time          	average(p)	average(U)
0.5             	4.32103500e-04	(4.16231079e-04 4.17615657e-04 0.00000000e+00)
1               	5.24025249e-04	(4.44026382e-04 4.43724055e-04 0.00000000e+00)
1.5             	4.43245109e-04	(4.28848828e-04 4.47798262e-04 0.00000000e+00)
2               	4.18439594e-04	(4.21892315e-04 4.34918643e-04 0.00000000e+00)
2.5             	4.36219358e-04	(-1.00000000e+00 0.00000000e+00 0.00000000e+00)
3               	2.63572385e-09	(-1.00000000e+00 -3.36930038e-09 0.00000000e+00)
3.5             	1.44176504e-10	(-1.00000000e+00 -1.68578273e-10 0.00000000e+00)
4               	6.93958004e-12	(-1.00000000e+00 -1.10123352e-12 0.00000000e+00)
4.5             	9.69203191e-14	(-1.00000000e+00 4.33153809e-13 0.00000000e+00)
5               	1.83821851e-14	(-1.00000000e+00 0.00000000e+00 0.00000000e+00)
5.5             	2.98582667e-15	(-1.00000000e+00 4.81092251e-17 0.00000000e+00)
6               	1.68717628e-17	(-1.00000000e+00 5.72590132e-17 0.00000000e+00)
6.5             	3.58631958e-17	(-1.00000000e+00 7.18880973e-17 0.00000000e+00)
7               	4.31228092e-18	(-1.00000000e+00 1.46238515e-16 0.00000000e+00)
7.5             	4.72769786e-15	(-1.00000000e+00 0.00000000e+00 0.00000000e+00)
8               	2.12317877e-15	(-1.00000000e+00 -1.51643294e-18 0.00000000e+00)
8.5             	3.56804139e-15	(-1.00000000e+00 -1.84654853e-17 0.00000000e+00)
9               	4.68846127e-15	(-1.00000000e+00 4.48344962e-17 0.00000000e+00)
9.5             	2.21178864e-16	(-1.00000000e+00 8.01728840e-17 0.00000000e+00)
10              	1.29812058e-17	(-1.00000000e+00 0.00000000e+00 0.00000000e+00)
