# Region        : all region0
# Cells         : 400
# Volume        : 1.00000000e-04
# Time          	CoV(p)	CoV(U)
0.5             	5.93584149e+00	(1.13542435e+02 7.37957143e+01 0.00000000e+00)
1               	5.63860382e+00	(1.21972287e+02 1.14556214e+02 0.00000000e+00)
1.5             	6.75440501e+00	(1.41159711e+02 1.37757542e+02 0.00000000e+00)
2               	7.36508532e+00	(1.58725612e+02 1.60124747e+02 0.00000000e+00)
2.5             	7.31697373e+00	(-0.00000000e+00 0.00000000e+00 0.00000000e+00)
3               	7.09326239e+00	(-3.29152200e-07 -1.74339598e+02 0.00000000e+00)
3.5             	5.64747773e+00	(-1.45274586e-08 -4.49271700e+02 0.00000000e+00)
4               	3.09657289e+00	(-3.92181369e-10 -1.30215394e+04 0.00000000e+00)
4.5             	4.35753907e+00	(-1.04326488e-11 6.95449266e+03 0.00000000e+00)
5               	6.36524212e+00	(-0.00000000e+00 0.00000000e+00 0.00000000e+00)
5.5             	1.80853437e-01	(-3.29894603e-15 2.23735137e+02 0.00000000e+00)
6               	8.13931176e+00	(-3.26268651e-15 3.06994587e+02 0.00000000e+00)
6.5             	6.18444711e+00	(-4.03268551e-15 2.90246735e+02 0.00000000e+00)
7               	1.45409989e+01	(-4.00331629e-15 1.62978566e+02 0.00000000e+00)
7.5             	1.43660054e-01	(-0.00000000e+00 0.00000000e+00 0.00000000e+00)
8               	2.00182652e-01	(-1.75830202e-15 -2.98685399e+03 0.00000000e+00)
8.5             	1.66878850e-01	(-2.53752153e-15 -5.97056390e+02 0.00000000e+00)
9               	1.89053522e-01	(-2.67133249e-15 4.42128520e+02 0.00000000e+00)
9.5             	2.15422565e+00	(-4.14676474e-15 2.99220307e+02 0.00000000e+00)
10              	9.51459488e+00	(-0.00000000e+00 0.00000000e+00 0.00000000e+00)
