# Region        : all region0
# Cells         : 400
# Volume        : 1.00000000e-04
# Time          	sumMag(p)	sumMag(U)
0.5             	1.72841400e-01	(8.80413907e+00 5.70326129e+00 0.00000000e+00)
1               	2.09610100e-01	(1.21918822e+01 1.18079022e+01 0.00000000e+00)
1.5             	1.77298043e-01	(1.55013672e+01 1.64496768e+01 0.00000000e+00)
2               	1.67375838e-01	(1.85767691e+01 1.99963967e+01 0.00000000e+00)
2.5             	1.74487743e-01	(4.00000000e+02 0.00000000e+00 0.00000000e+00)
3               	1.05428954e-06	(4.00000000e+02 5.38882327e-05 0.00000000e+00)
3.5             	5.76706015e-08	(4.00000000e+02 8.49800972e-06 0.00000000e+00)
4               	2.77583202e-09	(4.00000000e+02 1.63332872e-06 0.00000000e+00)
4.5             	3.87681277e-11	(4.00000000e+02 3.43132807e-07 0.00000000e+00)
5               	7.35287405e-12	(4.00000000e+02 0.00000000e+00 0.00000000e+00)
5.5             	1.19433067e-12	(4.00000000e+02 8.70602591e-13 0.00000000e+00)
6               	6.74870510e-15	(4.00000000e+02 1.69644693e-12 0.00000000e+00)
6.5             	1.43452783e-14	(4.00000000e+02 2.07128559e-12 0.00000000e+00)
7               	1.72491237e-15	(4.00000000e+02 2.39890088e-12 0.00000000e+00)
7.5             	1.89107914e-12	(4.00000000e+02 0.00000000e+00 0.00000000e+00)
8               	8.49271508e-13	(4.00000000e+02 4.34628859e-13 0.00000000e+00)
8.5             	1.42721656e-12	(4.00000000e+02 1.10020752e-12 0.00000000e+00)
9               	1.87538451e-12	(4.00000000e+02 1.98853501e-12 0.00000000e+00)
9.5             	8.84715456e-14	(4.00000000e+02 2.41264993e-12 0.00000000e+00)
10              	5.19248233e-15	(4.00000000e+02 0.00000000e+00 0.00000000e+00)
