# Region        : all region0
# Cells         : 400
# Volume        : 1.00000000e-04
# Time          	volIntegrate(p)	volIntegrate(U)
0.5             	4.32103500e-08	(4.16231079e-08 4.17615657e-08 0.00000000e+00)
1               	5.24025249e-08	(4.44026382e-08 4.43724055e-08 0.00000000e+00)
1.5             	4.43245109e-08	(4.28848828e-08 4.47798262e-08 0.00000000e+00)
2               	4.18439594e-08	(4.21892315e-08 4.34918643e-08 0.00000000e+00)
2.5             	4.36219358e-08	(-1.00000000e-04 0.00000000e+00 0.00000000e+00)
3               	2.63572385e-13	(-1.00000000e-04 -3.36930038e-13 0.00000000e+00)
3.5             	1.44176504e-14	(-1.00000000e-04 -1.68578273e-14 0.00000000e+00)
4               	6.93958004e-16	(-1.00000000e-04 -1.10123352e-16 0.00000000e+00)
4.5             	9.69203191e-18	(-1.00000000e-04 4.33153809e-17 0.00000000e+00)
5               	1.83821851e-18	(-1.00000000e-04 0.00000000e+00 0.00000000e+00)
5.5             	2.98582667e-19	(-1.00000000e-04 4.81092251e-21 0.00000000e+00)
6               	1.68717628e-21	(-1.00000000e-04 5.72590132e-21 0.00000000e+00)
6.5             	3.58631958e-21	(-1.00000000e-04 7.18880973e-21 0.00000000e+00)
7               	4.31228092e-22	(-1.00000000e-04 1.46238515e-20 0.00000000e+00)
7.5             	4.72769786e-19	(-1.00000000e-04 0.00000000e+00 0.00000000e+00)
8               	2.12317877e-19	(-1.00000000e-04 -1.51643294e-22 0.00000000e+00)
8.5             	3.56804139e-19	(-1.00000000e-04 -1.84654853e-21 0.00000000e+00)
9               	4.68846127e-19	(-1.00000000e-04 4.48344962e-21 0.00000000e+00)
9.5             	2.21178864e-20	(-1.00000000e-04 8.01728840e-21 0.00000000e+00)
10              	1.29812058e-21	(-1.00000000e-04 0.00000000e+00 0.00000000e+00)
