# Region        : all region0
# Cells         : 400
# Volume        : 1.00000000e-04
# Time          	sum(p)	sum(U)
0.5             	1.72841400e-01	(1.66492432e-01 1.67046263e-01 0.00000000e+00)
1               	2.09610100e-01	(1.77610553e-01 1.77489622e-01 0.00000000e+00)
1.5             	1.77298043e-01	(1.71539531e-01 1.79119305e-01 0.00000000e+00)
2               	1.67375838e-01	(1.68756926e-01 1.73967457e-01 0.00000000e+00)
2.5             	1.74487743e-01	(-4.00000000e+02 0.00000000e+00 0.00000000e+00)
3               	1.05428954e-06	(-4.00000000e+02 -1.34772015e-06 0.00000000e+00)
3.5             	5.76706015e-08	(-4.00000000e+02 -6.74313090e-08 0.00000000e+00)
4               	2.77583202e-09	(-4.00000000e+02 -4.40493409e-10 0.00000000e+00)
4.5             	3.87681277e-11	(-4.00000000e+02 1.73261523e-10 0.00000000e+00)
5               	7.35287405e-12	(-4.00000000e+02 0.00000000e+00 0.00000000e+00)
5.5             	1.19433067e-12	(-4.00000000e+02 1.92436900e-14 0.00000000e+00)
6               	6.74870510e-15	(-4.00000000e+02 2.29036053e-14 0.00000000e+00)
6.5             	1.43452783e-14	(-4.00000000e+02 2.87552389e-14 0.00000000e+00)
7               	1.72491237e-15	(-4.00000000e+02 5.84954059e-14 0.00000000e+00)
7.5             	1.89107914e-12	(-4.00000000e+02 0.00000000e+00 0.00000000e+00)
8               	8.49271508e-13	(-4.00000000e+02 -6.06573174e-16 0.00000000e+00)
8.5             	1.42721656e-12	(-4.00000000e+02 -7.38619411e-15 0.00000000e+00)
9               	1.87538451e-12	(-4.00000000e+02 1.79337985e-14 0.00000000e+00)
9.5             	8.84715456e-14	(-4.00000000e+02 3.20691536e-14 0.00000000e+00)
10              	5.19248233e-15	(-4.00000000e+02 0.00000000e+00 0.00000000e+00)
